epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
87,36.82083,0.0,1.0,1.0,1.5797396,-107002.29,-73706.95536458334,0.0,1.0,1.0,3.70064465602239,-107289.61752604166
88,-748.8939,0.0,1.0,1.0,0.22467011,-88527.35,-56667.8683203125,0.0,1.0,1.0,4.38573517203331,-88423.9506640625
89,-70.42152,0.0,1.0,1.0,0.21527012,-58290.67,-24855.98287109375,0.0,1.0,1.0,3.912790513833364,-59528.84365234375
90,-220.12712,0.0,1.0,1.0,0.12713188,-93827.49,-61177.59255859375,0.0,1.0,1.0,3.8909886385997137,-93874.81502604167
91,-379.86392,0.0,1.0,1.0,7.079233,-80920.49,-49776.95348307292,0.0,1.0,1.0,6.743723644415538,-80961.21467447917
92,1472.8768,0.0,1.0,1.0,41.878307,-97841.68,-65626.02787760417,0.0,1.0,1.0,26.73618348757426,-98107.95171875
93,1271.883,0.0,1.0,1.0,66.97815,-108173.43,-77129.78786458333,0.0,1.0,1.0,25.5076087474823,-108522.64763020833
94,184.417,0.0,1.0,1.0,3.8049817,-94767.71,-63311.501438802086,0.0,1.0,1.0,4.765552889903386,-94900.16850260417
95,-624.1614,0.0,1.0,1.0,1.0737052,-102062.35,-70212.73924479166,0.0,1.0,1.0,4.199812663793564,-101991.92626302084
96,-528.51935,0.0,1.0,1.0,0.18400486,-96988.22,-65895.89503255209,0.0,1.0,1.0,4.563469919761022,-96979.63565104167
97,-674.5874,0.0,1.0,1.0,0.012356333,-80350.4,-49032.33631510416,0.0,1.0,1.0,4.226669317086538,-80542.11842447917
98,-986.6776,0.0,1.0,1.0,0.014271433,-107295.21,-76932.35131510417,0.0,1.0,1.0,4.869163934787115,-107640.94912760417
99,-153.47241,0.0,1.0,1.0,0.06994591,-107463.9,-77598.97740885416,0.0,1.0,1.0,5.0429420538743335,-108040.27368489583
