epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
64,0.062054846,0.97,0.99,0.022562962,0.5173613,0.024077161573594123,0.988683134685328,1.0,0.0,0.4233094664758125
65,0.088607185,0.93,1.0,0.0049045878,0.6276747,0.03494931721040374,0.981934165513074,1.0,0.0,0.5807710886001587
66,0.1926595,0.8,0.86,0.08389,0.47929448,0.04331124493461332,0.9618107048572336,1.0,0.0,0.3619621582482577
67,0.09088795,0.96,0.98,0.037038594,0.66864526,0.08715523972555443,0.8809876549881672,1.0,0.0,0.6395531421826209
68,0.07461512,0.95,0.98,0.024856925,0.684643,0.04331364717963056,0.9650205820185658,1.0,0.0,0.6712533036867777
69,0.041171014,0.98,0.98,0.021723904,0.641522,0.057791883386518236,0.9437448617852764,1.0,0.0,0.6968775749697116
70,0.14995389,0.88,0.85,0.08865502,0.65425193,0.07501544515169206,0.8893415658071698,1.0,0.0,0.6414880453313819
71,0.091615416,0.99,0.96,0.06564246,0.6583301,0.10432135036268843,0.8590535003952529,1.0,0.0,0.6340888775425193
72,0.06701526,0.95,1.0,0.018816963,0.7910568,0.06836587302540065,0.9256790152793068,1.0,0.0,0.6558771825131074
73,0.15395707,0.93,0.87,0.09435517,0.7297571,0.16308831592155582,0.7181069953942004,1.0,0.0,0.7333017933515855
74,0.05275843,0.99,0.98,0.0347059,0.74956757,0.07753910670831125,0.8828806587698038,1.0,0.0,0.6210368974709216
75,0.08351898,1.0,0.91,0.07790431,0.8522293,0.13294812992460442,0.7923045257727305,1.0,0.0,0.7784342002966766
76,0.087413006,0.99,0.94,0.06312281,0.68976,0.07507028787132398,0.9139506188930308,1.0,0.0,0.7534767568356706
77,0.07538962,0.98,0.96,0.045493122,0.83728904,0.1418688115146425,0.7697942384476524,1.0,0.0,0.8615047632421485
78,0.06465362,0.99,0.96,0.039064147,0.7091257,0.0803441891423714,0.9016872428572227,1.0,0.0,0.7028803528581627
79,0.074445195,0.99,0.92,0.057566304,0.6676834,0.07736900667257515,0.9048971209997012,1.0,0.0,0.7527057533401521
80,0.2556205,0.56,1.0,0.01497802,0.23102613,0.011024693334705116,0.9951851895316638,1.0,0.0,0.20104173672052078
81,0.12387032,0.99,0.82,0.11378718,0.8143321,0.12847845654919315,0.7848971177030493,1.0,0.0,0.7394700845082601
82,0.04831542,0.97,1.0,0.009030396,0.7385122,0.031963297798309795,0.9820576212043134,1.0,0.0,0.6370295271461393
83,0.056419637,0.95,1.0,0.0032206208,0.7347572,0.08088413981621158,0.9020164604049651,1.0,0.0,0.7721364370589394
84,0.16302256,0.77,0.97,0.023582477,0.77184427,0.06020324001157725,0.9231275737040328,1.0,0.0,0.664940205743774
85,0.37049994,0.99,0.39,0.3522966,0.96967626,0.414541681484921,0.3088888894505952,1.0,0.0,0.9172285456716278
86,0.09905071,1.0,0.86,0.09546604,0.92892045,0.21872994361958878,0.5974074067402279,1.0,0.0,0.9412417242556442
