epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
38,1166.9308,0.76,0.34,0.28,0.0012834461,2663.4778,-1819.081830657959,0.7389800008535385,0.0,0.09400000010430813,0.0030053996141068636,2171.6327211914063
39,-1274.027,0.68,0.31,0.34,0.0030149976,8472.6045,6333.348801269532,0.7314400012493134,0.005799999870359898,0.19118000023812057,0.0057242221748456355,7542.167704101563
40,-676.628,0.05,0.95,0.97,0.0013873795,-4031.1094,-5286.71331640625,0.04757999962940812,0.10785999994724989,0.6973000029325486,0.0016429439502535388,-4257.3758125
41,-909.7305,0.87,0.1,0.08,0.0012639357,10004.211,5672.299798828125,0.9167600021362304,0.0,0.026839999575167896,0.0021967802606523037,9032.9371328125
42,-266.9186,0.06,0.96,0.94,0.0017426014,-3408.7524,-9149.545361328124,0.09841999993845821,0.0,0.3137000012397766,0.0032827599141746757,-3713.7867744140626
43,994.698,0.15,0.84,0.84,0.0009532483,-13688.027,-13886.937259765626,0.08893999997898937,0.5787199984192848,0.8345799995660782,0.001558752837474458,-15279.95766796875
44,-326.51584,0.08,0.86,0.9,0.0011273106,-2709.106,-8736.070583007813,0.1939400001913309,0.0,0.2732200003564358,0.003496583494823426,-2945.1551064453124
45,-431.73157,0.57,0.44,0.42,0.0010622066,2971.6921,-5746.184003417969,0.5658399969935417,0.0,0.128820000115782,0.0048618318089284004,2090.2111838378905
46,-795.791,0.75,0.19,0.19,0.0012924225,4018.6555,-1872.1868741931914,0.7255600018501281,0.0,0.09695999974757433,0.002916109701152891,3611.774371582031
47,-102.43104,1.0,0.0,0.01,0.0011345833,7319.9214,3442.304490234375,0.9932600064277649,0.0,0.001079999975860119,0.0021178118193056436,6968.421662109375
48,-724.11005,0.27,0.65,0.71,0.0012865274,-1925.2579,-7449.968275390625,0.30500000131130217,0.0,0.32882000145316126,0.002378122144844383,-2500.1125246582033
49,-671.1313,0.99,0.01,0.0,0.001419152,5571.3594,-809.1044141387939,0.9956600041389465,0.0,0.0005999999865889549,0.0024620134846773,5179.377765625
50,-726.00354,0.0,1.0,1.0,0.0015480209,-7819.047,-8368.632462890626,0.0033799999244511127,0.23039999976754189,0.8374799984693527,0.0014715336149092764,-8103.2354013671875
51,36.10687,0.81,0.18,0.26,0.0010678895,4958.2637,-1269.3802766036988,0.7362800016403198,0.0,0.07954000010341405,0.002668026664527133,4595.741654785156
52,430.39294,1.0,0.0,0.0,0.0008180908,10440.296,4545.992610839844,0.9995600004196167,0.0,0.00013999999687075616,0.002233900158898905,10313.128345703126
53,2063.3396,0.35,0.68,0.7,0.0011533346,-8526.919,-9612.122685546876,0.2693800006210804,0.011639999747276307,0.45037999761104586,0.0017058977589476854,-9060.0637265625
54,-461.89343,0.85,0.03,0.08,0.0010021758,3449.1472,-479.81379947710036,0.7373999997377395,0.0,0.1545600002296269,0.002050751978298649,3268.954791503906
55,-136.03731,0.17,0.78,0.82,0.0013467142,-7751.092,-9017.607094726562,0.2908600013554096,0.021079999580979347,0.439059997677803,0.0018867189863231034,-8126.62087109375
56,-634.4776,0.0,1.0,1.0,0.0010700952,-10510.249,-11510.470423828125,0.0005599999874830246,0.7060400013923644,0.947360001206398,0.001525012345518917,-11218.207013671876
57,24.792118,0.37,0.66,0.64,0.0013188081,1616.4337,-1434.2833037872315,0.5479399984478951,0.00909999979659915,0.2702000002712011,0.0017634092553053052,1199.2884111328126
58,4934.1064,0.41,0.64,0.62,0.0017451198,-4505.58,-7984.07311328125,0.407539998114109,5.9999998658895494e-05,0.3791000001430512,0.003652795312227681,-4778.224795410156
59,-1027.8104,1.0,0.0,0.0,0.0011354933,8714.301,-630.5279821574688,0.9975000023841858,0.0,0.0004999999888241291,0.0032482684140559288,8209.8241875
60,129.94763,0.52,0.49,0.48,0.0010713418,580.3181,-2201.8556484375,0.5847999978065491,0.0,0.24934000036120416,0.0017640625620260835,231.6402157188505
61,-423.72818,0.59,0.41,0.32,0.0013751809,1855.1378,-6404.021734375,0.7187000013589859,0.0,0.06275999997928738,0.003145687335636467,1588.1110354003906
62,-161.14743,0.33,0.68,0.72,0.0013702622,-5403.2227,-10142.881390625,0.29248000110685823,0.007319999840110541,0.504339996933937,0.0018764805479440838,-6379.983516601563
63,-4594.969,0.29,0.63,0.64,0.0014220922,-8243.637,-15667.65048046875,0.2844200010597706,0.01967999963834882,0.5350599974989891,0.0027035350813530384,-8282.721694335938
64,873.3476,1.0,0.0,0.0,0.0013636899,9756.088,6548.029842773438,0.9925400068759919,0.0,0.004659999895840883,0.0018150892944540828,9219.98584375
65,35.65897,0.38,0.71,0.63,0.0023228913,-16915.463,-10872.32704638672,0.294580000936985,0.9980600018501282,0.7792399978637695,0.0016578168573323636,-20462.89519140625
66,317.41605,0.98,0.0,0.01,0.0019561544,19693.738,11232.2438515625,0.9373800013065338,0.0,0.0205399996265769,0.004962964484468102,18654.15258203125
67,-761.27026,0.99,0.0,0.0,0.0013942062,14734.125,3810.1354448242187,0.9982400016784668,0.0,0.0003399999924004078,0.0029219946980010717,14277.85912890625
