epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
80,0.18379258,0.72,0.99,0.02096807,0.40880695,0.10199588957708329,0.8595400006771088,1.0,1.3371626896754308e-06,0.32534516289830206
81,0.26886308,0.98,0.54,0.24555287,0.4912954,0.13395833154395223,0.7830199984908104,1.0,5.2050243228706224e-05,0.48177923864126204
82,0.13102284,0.97,0.9,0.08704642,0.6094052,0.17502723322436214,0.6905399993658066,1.0,7.071369773115066e-07,0.5176259696483612
83,0.20002331,0.72,0.99,0.036591467,0.45540494,0.11037403906043619,0.8410599994063377,1.0,2.4863549819750303e-06,0.38024907326698304
84,0.13588968,0.94,0.92,0.06483838,0.32475877,0.11261416003294289,0.8302200003266335,1.0,2.3461672953438845e-06,0.4272892855703831
85,0.11163773,0.89,0.98,0.019689048,0.47498998,0.1609689121618867,0.7175599982738495,1.0,1.2707663799138929e-05,0.49616837334632874
86,0.41920787,0.89,0.38,0.33112448,0.41527843,0.18549012196063996,0.696120000243187,1.0,2.3871003457410016e-06,0.3614574869573116
87,0.20486253,0.98,0.68,0.18079132,0.8111957,0.31814376466721295,0.39119999840855596,1.0,2.1393316388795824e-07,0.6914790357351304
88,0.08517115,1.0,0.9,0.07340861,0.5320519,0.19055358447134496,0.6552400001883507,1.0,6.159045914699845e-07,0.5158905814886093
89,0.22405048,0.99,0.6,0.20681246,0.8308424,0.36637131993845107,0.32437999998778105,1.0,4.198730148736729e-07,0.7779783948659896
90,0.034016587,0.98,1.0,0.007671854,0.86451906,0.3762015253119171,0.30726000023633243,1.0,2.611461688175609e-07,0.8204832429885864
91,0.16921826,0.83,0.96,0.0450486,0.4517818,0.15056342701427639,0.7417400003075599,1.0,3.180256516799318e-07,0.434869202375412
92,0.24263224,0.97,0.6,0.21797454,0.6526942,0.22096717143245043,0.5852399997413158,1.0,5.176762129326245e-06,0.6173434852957725
93,0.14731753,0.9,0.91,0.07249472,0.46880928,0.12129724261793308,0.8165400004386902,1.0,8.682051713888694e-06,0.4818504880666733
94,0.12008042,0.99,0.84,0.095005535,0.6701622,0.19869233546592296,0.6418399994969368,1.0,4.354076858561484e-07,0.5672489399909973
95,0.20580637,0.96,0.71,0.16283365,0.7649257,0.2925616264939308,0.4418599982410669,1.0,9.273544764125674e-07,0.676386977314949
96,0.13613838,0.94,0.93,0.06464155,0.35441294,0.09047942831460387,0.8828800012469291,1.0,7.817480247247488e-07,0.3681292486488819
97,0.18489516,0.91,0.88,0.10182888,0.6558826,0.2441300445832312,0.5471799981296063,1.0,7.635202394586926e-07,0.5770569161772728
98,0.11392139,0.97,0.89,0.0858021,0.53871936,0.18833100630156696,0.6568000001907348,1.0,4.451304448593874e-09,0.5161172304153442
99,0.21991414,0.63,0.99,0.02221954,0.38420707,0.10407369301421568,0.8504799997210503,1.0,1.4333335007518654e-07,0.32595547345280645
